,OSM_id,Building_Height,Building_Volume,Roof_Area,Radiation
360,1009189099,6,973.476599,73.96606,25691.534949
361,1009189098,6,1054.776835,77.106053,39095.814053
362,1009189097,6,534.936343,49.546722,11170.232586
363,1009189096,6,906.429224,88.261819,52500.093156
364,1009189095,6,1046.97769,80.491753,37978.790794
365,1009189094,6,960.244408,72.354359,32393.674501
366,1009189093,6,753.754128,62.373005,40212.837311
367,1009189092,6,676.23748,55.501413,16755.34888
368,1009189091,6,972.884334,72.283328,26808.558208
369,1009189090,6,965.818611,70.756148,37978.790794
370,1009189089,6,857.83683,69.113846,35744.744277
371,1009189088,6,1479.789261,131.823167,73723.535071
372,1009189087,6,607.381228,53.163693,17872.372138
373,1008808680,6,653.238837,52.944966,14521.302362
374,1008807686,6,815.353652,64.261097,32393.674501
375,1008807685,6,605.928698,49.804069,30159.627983
376,1008807684,6,1007.125156,77.125795,21223.441914
377,1008807683,6,955.311827,69.907522,30159.627983
378,1008807682,6,557.834794,49.45636,12287.255845
379,1008807681,6,822.90059,67.312661,20106.418656
380,1008807680,6,1134.94387,80.880345,35744.744277
381,1008807679,6,674.427123,54.737391,13404.279104
382,1008807678,6,677.107122,52.309104,13404.279104
383,1008807677,6,525.456152,46.438276,10053.209328
384,1008807676,6,907.824008,68.802166,24574.51169
385,1008807675,6,916.053532,71.493641,22340.465173
386,1008807674,6,704.831054,58.902619,23457.488432
387,1008807673,6,674.874283,52.677172,22340.465173
388,1008807672,6,859.02136,68.561764,31276.651242
389,1008807671,6,769.740352,63.727729,26808.558208
390,1008807670,6,886.457056,71.593709,33510.697759
391,1008807669,6,708.669919,59.747049,24574.51169
392,1008807668,6,695.277817,51.315744,25691.534949
393,1008807667,6,738.995868,60.155753,25691.534949
394,1008807666,6,166.459079,27.509975,6702.139552
395,1008807665,6,85.748147,12.844421,4468.093035
396,1008807664,6,85.748147,12.814109,4468.093035
397,1008807663,6,85.748147,12.814109,4468.093035
398,1008807662,6,85.748147,12.844421,4468.093035
399,1008807661,6,85.748147,12.844421,4468.093035
400,1008807660,6,120.496343,12.481741,4468.093035
401,1008807659,6,120.881315,12.487581,4468.093035
402,1008807658,6,120.881315,12.487581,4468.093035
403,1008807657,6,120.496343,12.481741,4468.093035
404,1008807656,6,585.481731,44.901553,20106.418656
405,1008807655,6,1061.72904,148.452533,61436.279226
406,1008807654,6,594.598666,67.323025,25691.534949
407,1008807653,6,325.739905,51.622817,23451.701694
408,1008807652,6,334.259639,53.687683,22307.934807
409,1008806102,6,624.839724,83.541137,36861.767535
410,1008806101,6,737.639581,94.084032,35744.744277
411,1008806100,6,449.087017,74.847836,13404.279104
412,1008806099,6,226.954521,31.008083,15638.325621
413,1008806098,6,687.258547,110.634717,43563.907087
414,1008806097,6,537.34242,89.137384,29042.604725
415,1008806096,6,304.101498,50.039001,18989.395397
416,1008806095,6,926.95812,120.288557,43563.907087
417,1008806094,6,599.786908,78.901891,30159.627983
418,1008806093,6,781.356152,100.398196,36861.767535
419,1008806092,6,552.583376,71.297988,24574.51169
420,1008806091,6,719.379553,77.508711,27925.581466
421,1008806090,6,393.076997,50.541151,18989.395397
422,1008806089,6,503.099624,64.803184,24574.51169
423,1008806088,6,409.136759,58.686812,23457.488432
424,1008806087,6,580.153319,72.910677,29042.604725
425,1008806086,6,414.825466,53.823411,20106.418656
426,1008806085,6,226.109556,29.963845,8936.186069
427,1008806084,6,302.771863,36.927978,10053.209328
428,1008806083,6,323.87427,43.153754,8936.186069
429,1008806082,6,485.489607,57.669062,20106.418656
430,1008806081,6,796.971716,103.785582,34627.721018
431,1008806080,6,405.089614,56.744759,24574.51169
432,1008806079,6,662.54431,78.962804,33510.697759
433,1008806078,6,229.088157,28.89094,8936.186069
434,1008806077,6,255.623609,33.927456,6702.139552
435,1008806076,6,501.19944,64.541189,23457.488432
436,1008806075,6,811.557232,96.614896,37978.790794
437,1008806074,6,367.047437,46.465257,8936.186069
438,1008806073,6,241.130881,31.692766,8936.186069
439,1008806072,6,211.216556,27.486943,6702.139552
440,1008806071,6,642.886043,81.250099,42446.883829
441,1008806070,6,463.779635,57.42537,23457.488432
442,1008806069,6,424.481362,54.857572,22340.465173
443,1008806068,6,856.413419,98.6112,37978.790794
444,1008806067,6,342.737914,44.913687,11170.232586
445,1008806066,6,484.940775,61.262508,23457.488432
446,1006784222,6,525.141758,67.511234,24574.51169
447,1006784221,6,542.602228,69.361034,29042.604725
448,1006784220,6,998.069915,111.943952,45797.953605
449,1006784219,6,322.970078,41.235885,8936.186069
450,1006784218,6,303.437174,39.319825,8936.186069
451,1006784217,6,485.664819,59.888288,24574.51169
452,1006784216,6,386.238308,50.371287,11170.232586
453,1006784215,6,303.881373,36.048629,8936.186069
454,1006784214,6,126.724998,15.469184,4468.093035
455,1006784213,6,401.669283,54.176138,22340.465173
456,1006110557,6,685.181177,74.960942,30159.627983
457,1005781117,6,372.241602,48.414632,18989.395397
458,1005781116,6,245.329547,32.230493,8936.186069
459,1005781115,6,249.193584,33.393225,8936.186069
460,1005007472,6,634.480813,76.31871,26808.558208
461,1005007471,6,235.380974,33.142581,8936.186069
462,1005005879,6,348.216367,47.328278,18989.395397
463,1004770300,6,344.624279,46.327473,18989.395397
464,1004770299,6,485.738852,61.696753,24574.51169
465,1004770298,6,506.513045,64.66614,22340.465173
466,1004770297,6,609.653058,76.27684,41329.86057
467,1004770296,6,383.713778,50.72936,18989.395397
468,1004770295,6,574.047065,74.061275,23457.488432
469,1004770294,6,702.260623,90.256601,29042.604725
470,1004770293,6,674.324463,87.117842,29042.604725
471,1004770292,6,270.463799,33.459772,11170.232586
472,1004770291,6,355.674959,44.989776,17872.372138
473,1004770290,6,685.412654,86.65859,29042.604725
474,1004770289,6,319.388355,41.408341,17872.372138
475,1004770288,6,219.409557,31.573243,6702.139552
476,1004770287,6,642.037623,106.547512,42446.883829
477,1004770286,6,567.523758,93.718679,36861.767535
478,1004770285,6,480.649814,76.920435,26808.558208
479,1004770284,6,578.110004,77.745164,30159.627983
480,1004770283,6,496.350269,63.44702,24574.51169
481,1004770282,6,486.827139,66.471315,25691.534949
482,1004770281,6,329.030431,53.904477,18989.395397
483,1004770280,6,598.430621,76.488411,31276.651242
484,1004770279,6,469.369631,76.697966,24574.51169
485,1004770278,6,177.109487,28.091753,6702.139552
486,1004770277,6,431.891586,69.730542,23457.488432
487,1004770276,6,1277.441876,138.258868,58085.20945
488,1004770275,6,464.661616,62.486769,22340.465173
489,1004770273,6,647.982484,82.90984,30159.627983
490,1004770272,6,541.306648,71.384237,23457.488432
491,1004770271,6,286.126744,40.516529,8936.186069
492,1004770270,6,261.82808,34.477399,8936.186069
493,1004770269,6,387.430242,42.008873,18989.395397
494,1004770268,6,310.534484,41.280716,11170.232586
495,1004770267,6,511.778282,62.589799,31276.651242
496,1004770266,6,311.153895,41.169214,11170.232586
497,1004770265,6,419.353333,46.973782,11170.232586
498,1004770264,6,380.788976,49.216575,22340.465173
499,1004770263,6,434.531608,58.789102,23457.488432
500,1004770262,6,550.101785,73.603504,29042.604725
501,1004648919,6,378.111443,48.580672,25691.534949
502,1004648918,6,316.1689,39.986534,8936.186069
