OSM_id Building_Height Building_Volume Roof_Area Radiation
12582763 6 3342.458194 255.70813 177700.56305
11890773 6 27029.167219 2231.509699 956739.831463
11890772 6 10215.5155 793.511448 412265.306277
11890771 6 3322.850269 228.418691 164588.354205
9351278 30 207514.602615 1554.606785 929729.34588
8368552 30 1.7863e+6 7464.136478 4.6131e+6
8056942 6 22670.032607 1154.008186 678105.3486
8056859 6 215329.04315 4174.321894 2.7337e+6
7892281 27 63810.285002 1180.183961 686634.975627
7892281 27 457023.05432 3008.688613 1.7287e+6
7750172 27 871285.794422 3954.984273 2.3471e+6
7750171 9 225661.787169 5502.748174 3.4147e+6
7750170 6 5413.048714 382.027303 257310.415297
7750169 6 52880.274653 3691.644601 1.6306e+6
7750168 6 70746.021726 4611.492866 2.1673e+6
7750153 6 15862.709328 1156.113359 557594.768797
7750152 6 46953.753778 3474.998207 1.6803e+6
7722020 6 154778.499113 9380.114249 4.4255e+6
7490154 6 12215.305658 985.839229 562955.383744
5821918 6 13514.899731 1221.397347 588401.713489
5313250 6 3941.302413 322.804984 132010.116947
5313134 6 376.775392 38.924159 11372.836035
4720480 6 1551.624607 128.674167 68237.016211
4720480 6 378.54972 58.530068 24167.276575
3868003 6 332.946785 54.824257 28432.090088
3576137 6 388.11036 55.391268 24167.276575
3334311 6 247.600391 39.582889 11372.836035
3334310 6 629.03 101.39826 45491.344141
3334309 6 834.965525 104.883905 46912.948645
3238235 6 592.492176 60.993151 32696.903601
3223811 6 635.768496 78.783191 45491.344141
3223811 6 271.607858 34.541808 11372.836035
3223810 6 519.290672 65.24035 38383.321619
3223810 6 451.809463 59.656729 34118.508106
3211125 6 289.573234 38.685649 21324.067566
3211125 6 654.469268 68.539678 42648.135132
3211125 6 387.039347 44.91089 12794.44054
3189251 6 372.425205 45.358544 14216.045044
3183986 6 310.518691 40.383599 24167.276575
3016835 6 471.514618 55.0385 29853.694592
3016835 6 448.040189 55.36766 22745.67207
2787444 6 494.916494 61.960887 29853.694592
2697956 6 591.933472 76.799021 28432.090088
2695299 6 544.919466 60.389698 31275.299097
2655179 6 546.803856 59.975236 32696.903601
2502841 6 580.412435 76.858576 35540.11261
2451926 6 254.749031 40.952996 11372.836035
2451925 6 623.562405 101.646353 46912.948645
2448087 6 326.373629 40.836928 11372.836035
2448086 6 334.952589 44.175946 24167.276575
2448014 6 807.686779 104.296699 51177.762159
2448013 6 269.190429 35.411368 8529.627026
2448012 6 95.818135 11.238354 5686.418018
2439731 6 482.005114 59.137263 29853.694592
2439730 6 259.153509 32.965313 8529.627026
2439729 6 521.714517 65.640992 28432.090088
2439728 6 476.440289 58.760558 24167.276575
2439716 6 626.632313 80.790559 38383.321619
2438891 6 426.771454 57.966717 29853.694592
2218789 6 445.620292 52.594707 34118.508106
2218786 6 221.408945 28.192067 11372.836035
2218785 6 574.237577 69.727375 35540.11261
2218784 6 397.78353 52.897462 31275.299097
2166169 6 399.838197 52.104526 31275.299097
2108270 6 607.510539 73.60445 36961.717114
2102163 6 743.477835 94.206063 45491.344141
2100866 6 407.416229 55.245505 24167.276575
2100813 6 498.284508 60.651076 21324.067566
2097128 6 305.999708 38.729863 24167.276575
2095410 6 506.687764 65.905126 28432.090088
2095409 6 1058.834345 134.456526 62550.598194
2095408 6 416.140295 51.795067 24167.276575
2095407 6 2473.494676 264.69452 164906.122511
2095406 6 1850.502819 216.710555 99512.315308
2095405 6 1822.305076 212.310519 98090.710804
2095404 6 1945.948321 221.766813 105198.733326
2095403 6 1955.256755 206.074132 115149.964857
2095402 6 2050.125785 238.235609 142160.45044
2095401 6 2553.000348 290.486392 177700.56305
2095400 6 2534.673691 292.928087 164906.122511
